Month,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
May-09,,48.6,,45.4,24.9,14.3,2.8,,28.1,,55.1,19.7,11.8,2.4
Jun-09,,56.1,,40.1,24.7,15.9,3.6,,33.1,,52.5,19.9,13.1,2.5
Jul-09,,44.4,,32.8,20.2,11.2,2.4,,24.9,,40.4,15.5,9.8,2.2
Aug-09,,48.7,,28.6,21.7,13.3,2.3,,29.2,,36,16.6,11.4,2.5
Sep-09,,51.6,,26.3,24.3,14.4,2.4,,32.7,,33.1,19.1,11.6,3
Oct-09,,62.9,,15,27.2,18,4.3,,44.3,,20.3,21.5,14.4,4
Nov-09,,53.7,,29.9,21.9,12.9,3.4,,36.6,,36.5,17.5,11.4,2.8
Dec-09,,65.2,,18.9,23.1,16.3,4.1,,50,,22.3,18.6,13.9,3.6
Jan-10,100.5,65.7,166.4,14,30.2,24.3,4.7,45.2,51.9,97.2,17.4,25,22.1,4.2
Feb-10,78.8,63.9,142.8,23.8,25.2,18.3,4.6,29.3,47.7,77,29.8,19.4,15.9,3.2
Mar-10,72.4,59.8,120.6,26.4,25.6,15.9,3.4,23,40.8,63.8,42.5,19.4,14.1,2.7
Apr-10,63.9,60.2,124,37.2,29.8,18.8,4.6,20.9,41.9,62.8,50.2,24.3,16.3,4.1
May-10,60.9,53.2,114.1,35.1,24.5,16.2,3.9,17.3,33.1,50.5,47.2,19.9,13.2,3.2
Jun-10,55.2,53.9,109.1,34,26.5,17.4,4.4,13.4,33.7,47.1,50.2,22,15.1,3.2
Jul-10,58.7,46.5,105.2,28.6,20.9,12.5,3.1,11.5,25.1,36.6,42.8,16.5,8.9,2.6
Aug-10,60.6,46.6,107.2,24.3,18.1,11,3.3,13,26.1,39.1,35.9,15.4,8.9,2
Sep-10,78.1,57.2,135.3,20.3,23.8,14.5,3.6,23.9,35.4,59.4,31.8,14.5,11.4,2.7
Oct-10,82,59.6,141.6,19.2,25.2,15.9,3.5,30.7,38.5,69.2,27.7,20,13,2.7
Nov-10,116.6,65.7,182.2,15.4,28.2,21.9,4.2,60.6,46.9,107.5,20.4,22.5,18.2,3.7
Dec-10,111.2,71.3,182.4,10.7,27.2,22.6,3.9,54.9,53.9,108.8,13.9,21.7,19.2,3.7
Jan-11,78.1,61.8,140,21.5,24.4,17,3.4,31.9,44.4,76.4,26.5,19.4,14.6,3.5
Feb-11,81.1,60.4,141.4,23.5,32.6,24.3,2.9,25.8,41.2,66.6,31.3,26.5,19.9,2.3
Mar-11,94.7,69,163.5,23,43.3,32.6,3.8,36.6,49.7,86.3,32.5,36.9,29.9,4.1
Apr-11,64.4,63.4,127.8,38.7,39.2,28.2,3.1,17.3,40.4,57.7,52.9,34.2,25.6,4.4
May-11,50.2,49.4,99.5,42.4,23.7,13,2.4,9.7,26.2,35.9,57.4,19.1,11.3,3.2
Jun-11,46.4,50.1,111,30.3,20.7,12,2.3,12.2,25.5,37.7,43.1,15.7,10.5,2.8
Jul-11,60.8,51.5,112.3,32.8,21,12.8,2.6,11.7,25.9,37.6,46,16.7,11.5,2.6
Aug-11,72.3,42.2,124.1,23.2,20.4,11.9,2.9,14.2,21.2,31.7,27.1,12.1,10.4,3.2
Sep-11,87.6,55.6,143.1,24.1,26.4,14.9,2.1,22.3,31.4,53.7,34.1,20.3,12.9,3.8
Oct-11,92.1,60.1,152.2,22.6,25.5,14.7,2.8,27.2,37.3,64.6,30.1,18.9,14,4.2
Nov-11,122.8,48.8,186.7,10.9,35.4,25.2,3.4,45.4,42.6,87.9,17.3,27.8,23.5,5.1
Dec-11,79.4,58.1,137.5,25.9,19.1,9.2,2.9,17.7,36,53.8,33.6,12.9,9.5,4.1
Jan-12,103.9,62.3,166.3,20.6,26.5,15.8,3,37.6,40.6,78.2,27.4,20,15.2,4
Feb-12,109.8,69.9,179.7,19.8,35,21.5,3.5,35.9,45.6,81.5,27.2,26,20.9,4.2
Mar-12,110.6,72.8,183.4,21,42.6,30.3,3.7,38.1,47.6,85.6,28.6,35.5,28.5,5
Apr-12,70.3,59,129.3,40.8,21.8,13.3,2.2,12.8,31.9,44.7,52.8,16,11.6,3.9
May-12,63,57.5,120.5,43.2,29.4,18.6,2.4,9.6,29.6,39.2,56.8,23.5,16.2,3.5
Jun-12,60.9,47,107.9,36.9,21.4,11.9,2.1,10.7,24.3,35,47.1,15.8,9.1,3.2
Jul-12,73.3,52.8,126.1,29.2,22.1,12.8,2.4,11.9,26.8,38.7,40.4,15.6,9.1,3.9
Aug-12,70.6,52.1,122.8,27.8,23.7,13.7,2.4,12.5,28.1,40.6,39.5,17,9.6,3.3
Sep-12,84.6,57.4,142.1,25,22.5,12.4,2.9,17.8,33.5,51.4,33.7,16.1,9.3,4
Oct-12,95.3,58.7,154.1,19,24.6,15.8,3.8,24.8,35.1,59.9,25.4,17.4,11.4,4
Nov-12,128.6,69.6,198.3,16.5,27.8,17.4,3.4,40.3,45,85.3,22.9,19.5,14.3,4.7
Dec-12,112.5,63.9,176.5,24.2,23.1,13.9,4.1,40.7,42.8,83.5,30,16.3,11.4,4.7
Jan-13,122.1,67.6,189.6,19.9,30.1,20.5,4.4,41.2,45.9,87.2,24.8,22.3,17.5,4.6
Feb-13,99.4,63.6,163,27.3,31.7,21.3,3.8,28,40,67.8,31.4,23.5,17.8,4.5
Mar-13,92.2,65.6,157.8,35,36.2,25,3.5,29.5,40.9,70.2,41.2,28.2,21.8,4.8
Apr-13,65.9,56.1,121.9,45.9,29.3,17.2,2.3,12.1,30.6,42.3,54.9,21.8,14.6,2.9
May-13,67.6,57.1,124.7,41.6,24.4,14.4,3.8,12.5,29.3,42.1,50.9,17.7,12.2,3.3
Jun-13,67.5,49.3,116.8,32.1,23.7,13.4,2,12.3,24,39.3,42.7,17.5,10.8,3
Jul-13,63.4,54.8,118.1,34.8,28,15.8,2.8,12,28.1,43,48.2,21.3,13.2,3
Aug-13,68.5,52.3,120.7,28.4,25.2,13.4,2.4,13.1,27.3,40.2,39.7,18.9,12.3,1.8
Sep-13,107.1,59.1,166.1,16.3,29.7,17.2,2.9,26.5,35.5,61.8,22.8,21.6,14.5,2.8
Oct-13,92.8,52.6,145.4,21.4,25.5,12.6,3.1,24.4,32.3,56.5,29,18.1,10.6,3.7
Nov-13,122,62.3,184.2,14.3,27.1,14.7,4.1,39.3,42.8,81.9,20.9,18.9,12.7,5.1
Dec-12,113.1,57.9,171.3,25.2,26.2,14.5,3.1,42.9,41.7,84,30.8,18.9,12.7,4.8
Jan-14,104.8,56.3,161.1,26.2,22.3,11.6,1.8,42.5,38.4,77.1,34.6,16.5,10.6,4.2
Feb-14,70.6,48.5,119,34.3,19.7,8.5,2.8,14.6,29.5,41.7,45.8,14.7,7.9,3.3
Mar-14,101.2,66.2,167.4,23.6,35.7,23.8,3.3,33,43.5,75.1,34.5,27.3,22.5,4.4
Apr-14,81.1,59.3,140.4,29.4,31,20,2.3,19.9,35.2,53.8,41.8,24.4,18.5,4.4
May-14,77.9,56.9,134.8,35.5,23.3,13.6,1.4,13.8,31.7,43.4,49.3,16.9,12,2.9
Jun-14,74.3,54.6,128.9,31.7,21.9,11.6,3,14.8,28.9,42.8,44.4,16.3,10.5,2.4
Jul-14,59.9,49.9,109.8,30.5,22.8,13,3.3,13.2,27.5,39.9,45.6,17.7,12.1,3.7
Aug-14,60.8,45.5,106.3,29.5,18.5,9.7,3,13.2,26,37.7,40.3,14.1,9.3,4.2
Sep-14,93.9,63,156.9,21.1,35.5,25.2,5.5,26,40.1,64.6,31,29.1,24.7,3.1
Oct-14,103,55.5,158.6,20.3,22.5,12.8,3.5,25,34,55.7,29.1,16.9,11.8,3
Nov-14,150.1,64.7,214.8,12.8,29.4,20.3,3.6,63.7,43.4,106.4,15.8,22.3,18.1,4.4
Dec-14,110.4,59.7,170.1,22.7,22.5,13.2,3.2,36.2,37.9,73.3,29.1,14.9,12.1,4
Jan-15,109.8,62.7,172.5,23.8,24.3,13.5,4.3,34.1,38.6,69.8,33.7,15.8,12.6,3.6
Feb-15,108.8,64.7,173.5,22.2,28.2,15.8,6,30.1,40.5,68.8,30.9,17.9,14.4,5.9
Mar-15,81.3,55.8,137.1,29,31.2,19.5,2.8,19.8,35.1,52.4,43.4,23,18.3,5.9
Apr-15,77.8,56.2,134,33.4,25.5,16.1,1.2,17.2,33.9,49.3,46.8,19.1,14.1,4.4
May-15,62.2,48.6,110.8,41.6,20.1,10.5,3,9.7,24.6,32.8,54.1,14.4,8.7,2.8
Jun-15,69.1,50.5,119.7,37.3,22.6,12.8,5.3,11.7,26.1,36.5,50.3,17.1,10.8,4
Jul-15,71.4,49.5,120.9,34.4,20,11.1,6,11.2,23.9,33.2,46.2,15.2,9.5,3.5
Aug-15,69.7,49,118.8,29,20.5,12.2,0.5,12.6,26.3,36.3,40.4,15.8,9.3,4
Sep-15,99.3,57,156.2,21.2,20.4,12.6,1,22.9,32.6,53.5,31.4,15,8.1,3.6
Oct-15,108.8,58.5,167.3,18.3,26,18.6,0,30.2,35.6,62.2,24.5,20.1,12.8,3.7
Nov-15,98.3,53.9,152.2,24.9,21.8,12.7,3,25.5,29.5,53,34.3,16.2,9.1,3.5
Dec-15,72.4,47.2,119.7,32.6,24.1,11.9,1.6,12.1,24.2,33.2,44.1,19.1,8.2,3.6
Jan-16,123.1,60,183.2,23.8,23.2,13.6,3.9,44.2,38.2,80.1,32.7,16.5,9.1,4.8
Feb-16,106.6,58.7,165.2,27.4,23.1,13,4.1,33.2,36.5,69.6,38.1,16.8,9.8,3.9
Mar-16,87.3,57.6,144.9,30.2,26.1,18,3.5,20.4,34.3,54.7,41.2,18.9,15.6,2.3
Apr-16,85.5,58.8,144.3,33.9,21.1,12.5,5.9,14.7,30.3,45.1,46.5,14.5,8.7,3.4
May-16,63.2,50.9,114.2,39.6,22.4,13.8,4,10.5,26.1,35.9,53.2,17,10.7,3.3
Jun-16,69.5,48.7,118.2,31.5,21.3,12.6,6.1,11.8,24.9,36.1,43.9,16.1,9.7,4.4
Jul-16,69.9,45.4,115.4,24.2,17,10.9,2.5,10.6,21.3,32,36.6,13,6.8,2.5
Aug-16,65.6,47.6,113.2,27.2,20.7,12.7,2,11.1,23.6,34.7,39.7,16.8,8.6,3.1
Sep-16,87.3,54.7,142.1,21.6,21.5,12.9,2.5,14.6,28.2,42.8,30.1,16.8,8.7,3.8
Oct-16,108.3,58.3,166.6,15.3,24.3,16.7,5,32.4,33.7,66,20,19.9,12,3.2
Nov-16,139,66.1,205.3,15.4,24.6,14.5,6.1,49.5,41.4,90.9,20.9,19.1,11.6,4.9
Dec-16,180.9,69.7,250.7,11.1,33.2,23.9,5.8,79.2,49.6,128.8,14,27.1,20.3,2.6
Jan-17,110.4,71.7,241.1,12.8,31.3,23.8,8.5,51.1,50.7,129.2,16.1,24.8,21.3,3.3
Feb-17,57.1,54.7,142.1,25.5,25.6,18.4,5.1,13.9,33.9,55.2,32.8,21.2,16.2,4.2
Mar-17,50.2,52.9,129.7,33.6,23.1,13.5,2.4,9.2,31.9,46.1,43.9,17.8,12,3.6
Apr-17,40.7,51.1,113.6,38.3,22.4,12.8,3.4,7.9,28.7,40.9,51.2,17.5,11.3,2.9
May-17,39.7,47.4,108.2,34.3,22.3,12.8,2.1,7,26.8,37.6,48.3,18,11.4,3.4
Jun-17,37,45.6,102.2,34.3,21.1,11.4,1.9,5.8,22.7,31.6,50.6,16.4,9.5,2.9
Jul-17,38.2,42,100.6,27.5,17.2,9.4,0.8,5.9,21.2,26.7,42.4,13,7.5,3.1
Aug-17,41.7,44.3,108.2,23.6,17.8,10.2,0.6,8.2,24.4,33.5,36.8,13.8,8.7,1.4
Sep-17,48.1,47.8,121.6,20.2,19.2,12.1,1.8,10.2,27.7,39.3,31.2,14.1,10.4,1.3
Oct-17,51.7,47.4,126.7,22.8,20,10.9,1.6,13.7,28.5,45.6,32,15.6,9.3,3.3
Nov-17,69.8,57,164.1,17.1,22.8,13.4,4.5,24.7,38.6,76.4,23.8,17.5,11.8,2.9
Dec-17,57.1,52.9,140.5,21.8,17.5,9.9,5.6,17.5,36.1,63,28.8,13,9.4,2
Jan-18,46,47.3,117.9,26.4,19.3,10.3,3,13.9,32.1,49.2,35.8,14.9,10.8,2
Feb-18,47.6,51.5,124.5,26.1,23.5,11.9,3.1,12.8,35.2,51.4,36.3,16.9,12.5,1.5
Mar-18,41.5,51.1,114.8,29.8,26.3,15,4,10.3,34.4,46.2,42.4,20.2,13.6,1.8
Apr-18,34.8,46.8,100.1,35.5,25.7,16.8,1.3,7.3,28.7,36.6,50.6,20.7,14.6,1.1
May-18,32.6,49.3,99.3,40.9,29.3,18.9,1.4,6,28.3,35.1,59.8,24,16.1,3.8
Jun-18,27.9,39.4,82.2,36.5,21.3,10.4,2.7,4.7,20.1,25.6,55.5,16.6,8.7,2
Jul-18,27.2,45.5,87.2,38.1,22.9,11.8,-1.7,4.2,23.3,27.6,62.6,18.6,10.1,2.4
Aug-18,33.2,39.2,90.2,22.5,16.3,7.9,1.8,5.9,20.6,27.7,37.3,11.9,6.4,1.9
Sep-18,39.1,44.3,104.3,26.6,19,9.6,0.3,10.3,26.4,40.1,41,14.3,7.9,1.2
Oct-18,48.3,47.6,121.7,20.4,19.3,11.4,-0.8,13.6,30.7,49.8,29.7,15,9,2.7
Nov-18,52.1,48.1,127.9,17.6,23.9,15.2,5.9,18.2,34.1,62,23.8,19.8,13,1.7
Dec-18,50.9,48.5,126.6,22.2,19.7,11.4,2.5,19.4,33.1,63.4,30.8,15.5,9.4,1.6
Jan-19,52.8,54.5,135.5,18.9,22.7,13.9,2.7,18.7,39.5,65.3,29.9,18.2,13.2,2.8
Feb-19,57.3,57.0,144.9,21.7,28.7,18.5,1.1,23.0,39.5,72.2,32.7,23.4,17.1,2.5
Mar-19,31.0,42.6,90.0,34.9,20.9,11.3,4.9,7.7,25.7,36.0,52.7,16.6,10.9,2.3
Apr-19,25.2,46.2,84.9,38.1,32.3,22.8,12.4,6.9,31.5,39.9,54.7,29.2,23.1,2.8
May-19,24.7,39.7,77.5,35.7,19.5,10.7,11.5,5.5,22.4,29.3,53.7,15.3,10.9,1.5
Jun-19,22.0,34.9,68.6,31.4,18.0,9.2,4.5,5.0,19.4,24.9,51.8,14.1,9.5,1.8
Aug-19,23.4,36.2,72.1,28.2,18.5,9.1,5.7,4.8,18.4,24.4,50.7,13.9,8.9,2.6
