Month (text),GMT,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Mar-08,04:00,,33,,46.9,14,9.7,2.1,,26,,53.4,11.7,.,1.8
Mar-08,05:00,,42,,41,15.5,10.8,2.4,,31.3,,48.9,12.4,.,1.8
Mar-08,06:00,,58.2,,33,18.6,12.4,3.6,,42.1,,41.6,12.9,.,1.9
Mar-08,07:00,,67,,30.9,22.6,14.1,4.7,,48.7,,39.5,15.1,.,2.5
Mar-08,08:00,,64.6,,34.4,24.8,13.7,5,,46.3,,43.6,16.4,.,2.8
Mar-08,09:00,,61.6,,38.8,26.4,13.4,4.9,,42.5,,49.9,17,.,2.8
Mar-08,10:00,,58.9,,42.5,26.1,12,4.9,,38.7,,55.4,16.5,.,2.7
Mar-08,11:00,,56.9,,44.5,26.3,12.1,4.7,,35.4,,58.6,17,.,2.8
Mar-08,12:00,,56.4,,45.8,25.6,12,4.6,,34.7,,60.6,16.8,.,2.6
Mar-08,13:00,,56.6,,46.8,24.8,12.3,4.6,,34.7,,61.4,16.6,.,2.3
Mar-08,14:00,,58.1,,46.9,24.3,12,4.6,,35.2,,61.8,15.9,.,2.3
Mar-08,15:00,,59.4,,46.3,24.3,13.5,4.4,,36.3,,61.1,16.2,.,2.4
Mar-08,16:00,,61.8,,43.9,23.7,13.8,4.3,,39.1,,58,15.9,.,2.4
Mar-08,17:00,,66.9,,39.9,24,13.1,4.5,,44.7,,51.9,16.9,.,2.2
Mar-08,18:00,,71.4,,34.9,22.7,13.6,4.5,,51.5,,44.8,15.9,.,2.3
Mar-08,19:00,,69.6,,33.4,22.9,13.6,4.3,,52.8,,42,16.8,.,2.4
Mar-08,20:00,,65.7,,33.3,23.2,14.1,4.1,,51.8,,41.5,17.5,.,2.5
Mar-08,21:00,,62.1,,33.2,23,13.6,3.8,,50.9,,40.5,18,.,2.5
Mar-08,22:00,,60,,33.2,22.4,14.1,3.8,,49.2,,40.4,17.6,.,2.6
Mar-08,23:00,,54.1,,35.1,20.6,12.1,3.6,,43.6,,42.8,16.4,.,2.3
Apr-08,00:00,,49.7,,36.2,24.6,18.7,2.6,,40.2,,44.9,20.9,.,2.3
Apr-08,01:00,,44.4,,38.3,23.4,18.9,2,,37.3,,45.2,20.5,.,2.3
Apr-08,02:00,,40.8,,38.3,23.3,18.5,1.9,,35.3,,44.4,20.4,.,2
Apr-08,03:00,,43.6,,32.8,24.4,20.5,2.3,,36,,40.1,21.2,.,2.1
Apr-08,04:00,,54.1,,26,26.1,22,3.1,,42.1,,34.3,21.9,.,2.4
Apr-08,05:00,,72.5,,19,31,27,4.7,,53.9,,28.2,24.3,.,2.9
Apr-08,06:00,,81,,19.8,35,28.4,6,,60.5,,28.5,26.8,.,3.7
Apr-08,07:00,,76.6,,26.1,37.3,27.1,5.8,,57.6,,35,27.6,.,4.1
Apr-08,08:00,,70.9,,31.7,37.8,25.3,6,,50.2,,43.6,27.7,.,4.3
Apr-08,09:00,,66.4,,37.9,36.1,23.3,6.2,,43.7,,52.3,26.4,.,4.2
Apr-08,10:00,,63.1,,43,33.9,21.1,5.8,,39.7,,58.4,24.6,.,3.9
Apr-08,11:00,,62.2,,45.7,31.9,20,5.2,,37.2,,63,23.2,.,3.5
Apr-08,12:00,,61.7,,48,30.5,19.4,5,,36.4,,66.2,21,.,3.3
Apr-08,13:00,,60.9,,48.5,30.4,18.5,5.1,,36,,67.9,20.5,.,3.5
Apr-08,14:00,,60.8,,49.7,29.8,18.8,5.2,,35,,69.3,20.4,.,3.4
Apr-08,15:00,,60.7,,50,28.1,17.9,5.1,,34.9,,68.8,19.6,.,3.4
Apr-08,16:00,,63.9,,48.6,26.2,17.6,5.2,,38.1,,66.4,18.2,.,3.5
Apr-08,17:00,,66.3,,46.3,26.8,18.1,5.4,,42.8,,62.1,19.1,.,3.7
Apr-08,18:00,,67.4,,42.4,26.7,18.1,5.4,,47.9,,55.4,19.1,.,3.6
Apr-08,19:00,,67.3,,37.8,25.7,18.5,4.6,,51.2,,49.3,18.7,.,3.2
Apr-08,20:00,,66.3,,35.7,25.4,18.2,3.8,,51.8,,46.3,19,.,3.3
Apr-08,21:00,,64.3,,35.2,25.4,18.2,3.9,,51.9,,44.6,19.7,.,3.4
Apr-08,22:00,,61.1,,35.5,25.1,18.4,3.8,,50.6,,44.2,20,.,3.2
Apr-08,23:00,,56.2,,36.6,25.1,18.4,3.3,,45.8,,45,20.5,.,2.5
May-08,00:00,,51.5,,44.4,32.3,28.9,2.7,,42.4,,53.9,29.3,17.6,3
May-08,01:00,,47.5,,43.3,31.5,28.9,2.1,,40.1,,51.8,28.8,16.8,2.8
May-08,02:00,,43.2,,40.3,30,27.6,1.8,,36.5,,49.4,27.9,17.7,2.4
May-08,03:00,,45.1,,35.3,29.9,27.1,2.1,,36.5,,44.8,27.5,16.8,2.5
May-08,04:00,,53.5,,28.2,31.2,28.3,2.7,,41.5,,38.1,27.5,16.4,2.7
May-08,05:00,,66.5,,23,34.5,31,3.8,,49.6,,32.6,29.3,17.6,3.4
May-08,06:00,,73.7,,23.7,39,33.2,4.9,,54.8,,33,33,18.4,4.2
May-08,07:00,,73.6,,27.5,41.5,33.3,6,,54.5,,38.1,34.9,20.1,5.3
May-08,08:00,,72.4,,33.2,41.4,31.3,6.9,,52.1,,45.8,34.7,22.4,6
May-08,09:00,,69,,39.5,39.5,28.4,6.8,,47.3,,55.5,32.8,15.8,6.3
May-08,10:00,,65.5,,47.2,37.2,23.9,6.5,,41.9,,65,30.8,15,5.6
May-08,11:00,,63.3,,54.5,35.4,21.5,5.9,,38,,74,28.7,13.7,5
May-08,12:00,,62.5,,60.7,33.3,21.3,6.1,,35.8,,80.2,27.1,12.9,5
May-08,13:00,,62.9,,63.7,34.5,21.6,6,,35.5,,83.9,27,12.7,5.1
May-08,14:00,,64,,64.9,34,22.6,5.6,,35.4,,85.8,26.9,13,4.7
May-08,15:00,,66,,66.3,32.6,23.7,5.6,,37.4,,86.2,26.9,14.1,5.2
May-08,16:00,,67.3,,66,32.2,25.1,5.5,,39.2,,85.1,26.5,15.6,4.9
May-08,17:00,,68.9,,61.4,32.8,25.8,5.4,,42.2,,81,27.1,16.3,4.9
May-08,18:00,,70.1,,57.1,33.2,26.9,5.3,,45.9,,75.1,28.1,16.8,4.5
May-08,19:00,,69.1,,51.2,34.4,28.2,4.8,,50.8,,66.5,29.7,17.3,4.3
May-08,20:00,,67.7,,46,35.5,29.5,4.1,,53.1,,58.8,31.2,17.5,3.9
May-08,21:00,,65.2,,45,35.6,30.5,3.8,,51.9,,56.6,31.4,17.5,3.7
May-08,22:00,,62.8,,44.4,34.9,30.9,3.6,,50,,56.2,30.9,18,3.5
May-08,23:00,,58.6,,43.7,34.5,30.5,3.1,,46.8,,54.9,31.1,19.1,3.2
Jun-08,00:00,,41,,31.9,22.4,17.5,2.3,,34,,38.6,19.5,14.4,1.9
Jun-08,01:00,,35.8,,32.5,20.9,17.4,1.8,,30,,37.2,18.7,13,2
Jun-08,02:00,,33,,33.3,19.9,16.7,1.4,,27.1,,36.7,18.1,13.7,1.7
Jun-08,03:00,,33.9,,30.8,19.5,16,1.4,,26,,35.7,17.2,12.8,1.7
Jun-08,04:00,,41,,26.1,20.2,16,2,,29.1,,32.8,16.8,12.4,1.8
Jun-08,05:00,,51.8,,24.1,22.5,16.5,3.1,,33.5,,32.5,17.3,12.6,2.2
Jun-08,06:00,,56.6,,27.2,24.1,16.8,3.8,,36.4,,36,18.1,12.9,2.6
Jun-08,07:00,,55.7,,30.9,25.1,16.2,4.1,,35.5,,41.3,18.7,13.3,2.9
Jun-08,08:00,,54.1,,34.4,24.7,16.1,4.3,,33.1,,46.5,18.4,13,3.1
Jun-08,09:00,,51.9,,39.5,23.7,15,4.3,,30.2,,52.8,18,11.4,3
Jun-08,10:00,,50.7,,43.6,24,14.6,4.3,,27.3,,58.8,17.5,11.2,2.6
Jun-08,11:00,,51.2,,47,24.4,14.5,4.2,,26.6,,63.3,17.6,11.1,2.6
Jun-08,12:00,,51.4,,49.5,24.8,15.4,4.4,,26.9,,66.9,18.3,11.2,2.9
Jun-08,13:00,,52.6,,51.2,25.3,15.6,4.5,,27.1,,69.2,18.4,12,2.7
Jun-08,14:00,,54.2,,52.4,25.8,16.4,4.7,,27.3,,71.2,18.8,11.8,2.8
Jun-08,15:00,,54.6,,53.5,25.8,16.4,4.6,,27.6,,71.1,19,12.1,2.8
Jun-08,16:00,,54.1,,53.7,24.5,16,4.7,,28.6,,69.9,18.9,12.5,3.1
Jun-08,17:00,,53.9,,52.5,23.6,15.5,4.8,,30,,67.9,18.5,12.6,3
Jun-08,18:00,,52.9,,49.6,23.3,15.3,4.8,,31.6,,63.9,18.3,12.3,2.9
Jun-08,19:00,,50.1,,46.8,23.1,15.4,4.2,,32.5,,59.3,18.5,13,2.8
Jun-08,20:00,,49.1,,42.1,22,14.8,3.5,,34.6,,52.6,17.6,13.1,2.8
Jun-08,21:00,,50.9,,36.8,22.6,15.7,3.4,,37.9,,45.9,18.3,13.7,2.9
Jun-08,22:00,,51.4,,33.9,22.8,17.2,3,,39.3,,41.7,19,13.7,2.2
Jun-08,23:00,,47.9,,32.8,21.8,17,2.6,,37.7,,40,18.7,13.1,2
Jul-08,00:00,,36.8,,28.1,19.6,13.5,1.9,,31.2,,37.1,16.5,12.3,1.9
Jul-08,01:00,,31.5,,29.4,18.6,12.5,1.5,,27.6,,36.8,16,11.4,1.7
Jul-08,02:00,,30.3,,30.1,18,12.8,1.2,,26,,34.5,15.6,11.5,1.5
Jul-08,03:00,,32.3,,26,18,13.1,1.2,,25.9,,31.8,15.3,12,1.6
Jul-08,04:00,,39.6,,21.4,19.8,14.6,1.6,,28.6,,28.2,15.7,12.1,1.7
Jul-08,05:00,,50.9,,18,23,17.4,2.4,,33.5,,26,16.8,12.6,1.9
Jul-08,06:00,,57.9,,18.4,25.7,18.1,3.2,,37.7,,26.8,18.3,13.5,2.5
Jul-08,07:00,,57.5,,21.6,27.4,17.5,3.5,,38,,31.5,20.1,13.4,3.2
Jul-08,08:00,,55.5,,26.4,26.9,14.9,3.7,,35.8,,37.6,19.5,12,3.5
Jul-08,09:00,,52.8,,32.2,26.2,13.5,3.9,,32,,45,19.1,11.3,3.5
Jul-08,10:00,,51,,37.7,25,13.8,3.7,,28.8,,52.5,18.1,11,3.5
Jul-08,11:00,,50.8,,41.6,25.5,13.4,3.9,,27.6,,58,17.7,11.8,3.1
Jul-08,12:00,,51.3,,44.3,25.2,13.3,3.9,,27.4,,61.2,17.5,10.4,2.9
Jul-08,13:00,,51.4,,46.6,25.7,13.7,4,,26.6,,64.4,18,11.2,2.9
Jul-08,14:00,,51.7,,48.7,24.5,14.5,4.2,,26.3,,66.7,17.3,10.9,2.6
Jul-08,15:00,,51.6,,50.2,24.2,13.7,4.1,,26,,67.7,17.4,11.1,2.6
Jul-08,16:00,,52.9,,49.8,23.6,13.5,4.3,,27.9,,66.5,16.9,10.9,2.7
Jul-08,17:00,,53.9,,48.7,22.9,13.3,4.2,,29.8,,64,16.6,11.3,3
Jul-08,18:00,,52.5,,46.7,21.8,13.1,3.8,,30.9,,60.1,15.6,10.8,2.9
Jul-08,19:00,,51.2,,43.6,21.5,13.2,3.5,,32.7,,54.9,15.8,11.7,2.4
Jul-08,20:00,,51.8,,37.6,21.9,14.1,3.1,,36,,47.7,16.7,12.3,2.2
Jul-08,21:00,,52.4,,32.7,22.6,15.2,2.7,,38.6,,42.6,17.5,13.3,2.1
Jul-08,22:00,,50,,30.4,22.1,14.9,2.5,,38.3,,39.5,17.4,13.8,1.9
Jul-08,23:00,,45.2,,29.5,21.3,14.3,2.3,,35.9,,37.9,17.5,12.9,2
Aug-08,00:00,,30.6,,26.6,18.8,10.8,1.1,,26.1,,33.4,16.2,11.5,1.7
Aug-08,01:00,,25.7,,27.9,17.6,10.1,1,,22.8,,33.5,15.6,10.9,1.6
Aug-08,02:00,,23,,29.8,16.8,10.1,0.9,,20.7,,32.3,14.8,10.2,1.4
Aug-08,03:00,,23.9,,27.4,16.5,9.5,1,,19.7,,30.9,14.5,9.8,1.5
Aug-08,04:00,,30.2,,22.9,17.2,10.3,1.3,,21.5,,28.1,14.1,9.9,1.6
Aug-08,05:00,,42,,18.5,19.6,12.4,2,,27.1,,24.5,14.4,10.6,1.9
Aug-08,06:00,,49.1,,18.4,22.2,12.9,2.6,,32.3,,23.5,15.9,11.3,2
Aug-08,07:00,,48.4,,20.9,23.6,12.9,2.8,,33,,26.1,16.7,11.5,2.4
Aug-08,08:00,,46,,24.9,23.4,12.5,2.8,,30.8,,31,16.8,12.1,2.6
Aug-08,09:00,,44,,29.1,22.1,12.1,2.7,,28,,36.7,15.7,11.7,2.6
Aug-08,10:00,,43.9,,32,22.3,11,2.7,,26.9,,40.6,15,11.4,2.6
Aug-08,11:00,,43.8,,33.7,22.4,11,2.6,,26.2,,43.1,15,10.4,2.7
Aug-08,12:00,,44.2,,35.5,21.9,11.1,2.6,,25.8,,45.5,14.9,10.7,2.5
Aug-08,13:00,,44.2,,36.6,22,11,2.5,,25.7,,47.8,15,10.6,2.3
Aug-08,14:00,,44.3,,38.9,21.2,10.7,2.6,,25.1,,50.4,13.8,10.3,2.2
Aug-08,15:00,,44.5,,41,21.2,11.3,2.6,,24.6,,52.5,14.4,10.8,2.1
Aug-08,16:00,,46.3,,41.7,21.3,11.5,2.7,,25.7,,52.1,15.2,11.1,2.2
Aug-08,17:00,,47.1,,39.8,21.6,11.9,2.7,,27.6,,49.1,15.6,11.8,2.3
Aug-08,18:00,,48.3,,36.1,21.7,12.4,2.5,,29.9,,43.9,15.9,12.5,2.2
Aug-08,19:00,,47.7,,31.5,21.2,12.5,2.3,,33.2,,37.9,15.9,12.5,2
Aug-08,20:00,,46.4,,27.8,20.6,12.1,2.1,,35.5,,33.4,16.4,12.9,2
Aug-08,21:00,,44.8,,26.5,21.3,12.2,2,,35.6,,31.4,17,11.8,2.1
Aug-08,22:00,,41.1,,25.8,20.1,11.8,1.8,,34.3,,31,16.6,11.5,2
Aug-08,23:00,,36.5,,27.3,19.7,10.9,1.5,,30.2,,31.7,16.6,10.9,1.8
Sep-08,00:00,,42.1,,19.1,24.5,17.9,1.8,,39.2,,23.7,21.9,15.6,2
Sep-08,01:00,,37.5,,20.4,23.3,17.2,1.5,,34.4,,24.6,20.8,15.8,1.8
Sep-08,02:00,,33.7,,21.2,22.7,16.6,1.3,,31.6,,24,20.3,15.1,1.6
Sep-08,03:00,,34.7,,19.4,22.4,16.9,1.5,,30.3,,23,19.9,15,1.5
Sep-08,04:00,,41.5,,15.1,23.8,17.6,1.9,,33.4,,19.3,20.3,14.8,1.8
Sep-08,05:00,,54.4,,10.9,27.2,20.3,3.2,,41.1,,14.8,21.8,15.4,2.2
Sep-08,06:00,,65.2,,10,32,22.4,4.2,,49.4,,12.8,24,16.3,2.9
Sep-08,07:00,,67.4,,11.5,36.8,23.7,4.7,,52.8,,14.5,27.5,18.3,3.8
Sep-08,08:00,,66,,14.8,37.1,23.6,5.1,,51,,19,27.9,19.5,4.2
Sep-08,09:00,,60.5,,19.6,32.7,22,5,,44.9,,26.1,25.8,18.1,4.2
Sep-08,10:00,,57.1,,24.6,33,19.1,5.3,,39.6,,32.6,24.2,16.7,4.5
Sep-08,11:00,,55,,28.6,31.2,17.5,5.8,,36.3,,38.9,23,16.3,4.7
Sep-08,12:00,,53.2,,31.8,30.5,16.8,5.2,,34,,43.4,22.7,14.4,4.2
Sep-08,13:00,,53.5,,33.9,29.8,15.3,5.1,,32.8,,45.9,21.7,13.2,3.7
Sep-08,14:00,,54.6,,34.8,28,14.8,4.6,,32.9,,47.3,20.6,12.7,3.6
Sep-08,15:00,,55.4,,35.6,26.8,15.3,4.6,,34,,48,19.6,12.5,3.6
Sep-08,16:00,,57.9,,34.2,26.2,15.1,4.4,,36.6,,45.7,19.7,12.7,3.5
Sep-08,17:00,,61.2,,30,26.8,15.2,4.7,,41.3,,39.6,19.8,12.5,3.4
Sep-08,18:00,,63.4,,25,27.3,15.9,4.3,,47.1,,31.4,20.7,14.1,3.2
Sep-08,19:00,,61.3,,21.6,28.1,17.1,3.8,,50.3,,27.3,21.7,15,2.9
Sep-08,20:00,,59.3,,19.5,28,17.8,3.4,,51.2,,24.3,22.8,15.9,2.8
Sep-08,21:00,,58.4,,18.4,27.1,17.9,3.2,,50.9,,22.3,22.5,16.2,2.7
Sep-08,22:00,,54.9,,18,26.5,17.8,3,,49.2,,21.7,22.5,16.1,2.4
Sep-08,23:00,,49.9,,18.8,25.6,17.6,2.6,,44.7,,22.9,22.2,15.6,2.2
Oct-08,00:00,,42.1,,19.4,19.3,12.2,2.7,,38.2,,24.2,16,11.4,2.3
Oct-08,01:00,,36.6,,20.7,17.4,10.3,2.6,,33,,25.3,15,10.1,1.9
Oct-08,02:00,,33.6,,22.6,16.5,9.7,2.1,,31.3,,26,14,9.8,1.7
Oct-08,03:00,,33.7,,21.6,15.1,9.4,2.1,,30.3,,25.2,12.6,9.4,1.8
Oct-08,04:00,,40.2,,17.7,15.4,10.4,2.7,,33,,22.1,12.1,8.5,2
Oct-08,05:00,,53.8,,13.3,18.9,12.7,4.1,,40.6,,17.3,13.2,9.5,2.5
Oct-08,06:00,,68.4,,10.2,23.1,14.3,5.4,,50.8,,13.3,15.3,10.4,3.1
Oct-08,07:00,,72.5,,10.4,27.6,15.4,6.1,,56.1,,13.7,18.1,11.3,3.8
Oct-08,08:00,,69.1,,14,28.7,15.5,5.9,,53.6,,18.1,19.7,13.6,4
Oct-08,09:00,,63.4,,18.4,27.3,14.5,5.4,,48,,24.6,19.3,12.6,3.8
Oct-08,10:00,,58.5,,22.3,27.1,13.1,5.3,,41.6,,31.3,17.9,12.2,3.7
Oct-08,11:00,,55,,25.9,26.2,12,4.9,,36.6,,37.1,16.9,10.7,3.4
Oct-08,12:00,,53.6,,28.1,24.4,11.5,4.8,,34.3,,40.2,16.2,9.7,3.3
Oct-08,13:00,,54,,28.1,25,11.2,4.6,,34.1,,40.7,16.1,11,3
Oct-08,14:00,,55.6,,27.9,23.8,11.3,4.4,,35.2,,40.1,14.9,10.4,2.8
Oct-08,15:00,,58.7,,27.1,23.5,11.7,4.5,,37.8,,37.8,15.2,9.6,2.5
Oct-08,16:00,,64.7,,22.9,22.6,12.5,4.8,,44.3,,31.8,14.7,11,2.6
Oct-08,17:00,,72.1,,17.8,24.5,13.7,4.8,,52.8,,23.6,16.4,12.6,2.8
Oct-08,18:00,,74.3,,14.4,25.2,15,5,,58.7,,18.9,17.6,14.2,3
Oct-08,19:00,,69.7,,14.1,25.6,15.9,4.7,,58.4,,18.2,18.7,15.5,2.9
Oct-08,20:00,,64,,15.3,25.2,15.5,4.4,,55.5,,18.9,19.3,15.7,2.9
Oct-08,21:00,,59.3,,16.7,24.2,15,4.2,,52.4,,19.6,19,14.7,2.9
Oct-08,22:00,,56,,17.4,23.5,13.9,4.1,,49.8,,20.3,19.2,12.9,2.8
Oct-08,23:00,,50.8,,18.1,21.8,13.4,3.5,,45.1,,21.9,17.7,12.3,2.5
Nov-08,00:00,,48.6,,18.1,20.1,14.9,2.4,,38,,21.2,17.1,13.7,2.3
Nov-08,01:00,,42,,20.1,17.9,13.8,2.4,,33.4,,23.3,15.6,13.2,2.3
Nov-08,02:00,,36.4,,22.8,16.5,12.3,1.9,,30.4,,25.3,14.6,12.1,1.7
Nov-08,03:00,,33.5,,23.5,16.2,12.1,1.7,,27.5,,26.7,14.2,11.7,1.9
Nov-08,04:00,,33.4,,24.4,14.8,11.5,1.7,,26.3,,27.8,13,11,1.8
Nov-08,05:00,,40.4,,21.3,15.2,11.7,2.2,,29.5,,25.4,12.7,10.5,2
Nov-08,06:00,,55.1,,17.1,18,13.3,2.9,,38,,21.1,13.6,10.4,2.2
Nov-08,07:00,,67.2,,14.6,20.8,14,3.8,,47.1,,17.8,14.8,10.8,2.7
Nov-08,08:00,,69.1,,14.6,23.5,15.2,4.4,,50.5,,17.7,16.7,11.5,3.1
Nov-08,09:00,,68.2,,16.8,24.8,14.2,4.4,,47.6,,20.7,17.3,12.4,3.2
Nov-08,10:00,,65.6,,19.1,24.5,13.3,4.3,,44.9,,24,17,11.6,3.8
Nov-08,11:00,,62.3,,21.2,24.6,13.6,4.1,,41.8,,27.1,17.2,11.6,3.7
Nov-08,12:00,,61.5,,22.6,25.2,14.6,4,,40.6,,29.3,17.4,12.4,3.7
Nov-08,13:00,,61.9,,22.7,24.9,14.5,3.9,,40.5,,29.2,17.5,12.3,3.2
Nov-08,14:00,,64.8,,21.6,25.5,14.6,3.8,,43.1,,27.1,17.9,12.3,2.8
Nov-08,15:00,,70.2,,18.3,25.2,15.2,3.9,,48.5,,22.6,18,12.3,2.8
Nov-08,16:00,,73.2,,15.1,24.1,15.7,3.8,,52.8,,19,17.7,12.8,2.8
Nov-08,17:00,,74.2,,14.4,23.7,16.4,3.9,,53.7,,18,17.5,13.2,2.7
Nov-08,18:00,,73.3,,14.9,24,17,3.9,,53.6,,17.8,18.3,14.8,2.9
Nov-08,19:00,,68.1,,15.7,24.5,17.2,3.7,,51.7,,18.5,19.3,17.5,2.8
